 latitude, longitude
44.61747021,-65.11334442
44.61747021,-65.11334442
44.61747021,-65.11334442
44.61747021,-65.11334442
44.61747021,-65.11334442
44.61747021,-65.11334442
44.61747021,-65.11334442
44.59785927,-65.47956774
44.59785927,-65.47956774
44.59785927,-65.47956774
44.59785927,-65.47956774
44.59785927,-65.47956774
44.6520984,-65.51864209
44.6520984,-65.51864209
44.6520984,-65.51864209
44.6520984,-65.51864209
44.6520984,-65.51864209
44.6520984,-65.51864209
44.66552132,-65.04534414
44.66552132,-65.04534414
44.66552132,-65.04534414
44.66552132,-65.04534414
44.66552132,-65.04534414
44.57182044,-65.38338636
44.57182044,-65.38338636
44.57182044,-65.38338636
44.57182044,-65.38338636
44.57182044,-65.38338636
44.57182044,-65.38338636
44.61241312,-65.50157467
44.61241312,-65.50157467
44.61241312,-65.50157467
44.61241312,-65.50157467
44.7233945,-65.04600676
44.7233945,-65.04600676
44.7233945,-65.04600676
44.7233945,-65.04600676
44.7233945,-65.04600676
44.7233945,-65.04600676
44.7233945,-65.04600676
44.87466409,-65.31303702
44.87466409,-65.31303702
44.5307319,-65.28841351
44.5307319,-65.28841351
44.5307319,-65.28841351
44.5307319,-65.28841351
44.5307319,-65.28841351
44.5307319,-65.28841351
44.5307319,-65.28841351
44.94095212,-65.18338574
44.94095212,-65.18338574
44.94095212,-65.18338574
44.94095212,-65.18338574
44.94095212,-65.18338574
44.58708857,-65.57966315
44.58708857,-65.57966315
44.58708857,-65.57966315
44.54828957,-65.34154828
44.54828957,-65.34154828
44.54828957,-65.34154828
44.54828957,-65.34154828
44.54828957,-65.34154828
44.54828957,-65.34154828
44.71603007,-65.3048998
44.71603007,-65.3048998
44.71603007,-65.3048998
44.71603007,-65.3048998
44.71603007,-65.3048998
44.71603007,-65.3048998
44.71603007,-65.3048998
44.71603007,-65.3048998
44.64359916,-65.47091167
44.64359916,-65.47091167
44.64359916,-65.47091167
44.64359916,-65.47091167
44.64359916,-65.47091167
44.64359916,-65.47091167
44.64359916,-65.47091167
44.64359916,-65.47091167
44.71162955,-65.43025148
44.71162955,-65.43025148
44.71162955,-65.43025148
44.71162955,-65.43025148
44.71162955,-65.43025148
44.6188037,-64.87189091
44.6188037,-64.87189091
44.6188037,-64.87189091
44.6188037,-64.87189091
44.6188037,-64.87189091
44.6188037,-64.87189091
44.66830584,-65.44815692
44.66830584,-65.44815692
44.66830584,-65.44815692
